art,de,en
die,Sonne,sun 
der,Junge,boy 
das,Gebäude,building 
der,Staat,country 
die,Straße,street 
die,Freiheit,freedom 
der,Erfolg,success 
das,Geld,money 
der,Himmel,sky 
das,Wasser,water 
das,Gespräch,conversation 
das,Gesicht,face 
die,Richtlinien,guidelines 
der,Einklang,harmony 
die,Rettung,rescue 
die,Devisenreserven,foreign exchange reserves 
die,Währung,currency 
der,Tisch,table 
das,Bargeld,cash 
die,Abhebung,withdrawal 
die,Angabe,information 
die,Einlagen,deposits 
die,Schlacht,battle 
die,Halbinsel,peninsula 
die,Vergabe,award 
die,Kreditvergabe,lending 
die,Unfähigkeit,inability 
der,Bedarf,need 
die,Darstellung,representation 
die,Forderung,claim 
der,Hemmschuh,hindrance 
die,Auswirkung,impact 
die,Gemeinschaft,community 
die,Abteilung,department 
die,Volksvertretung,parliament 
das,Abkommen,agreement 
die,Zurückhaltung,restraint 
der,Beamte/ein,official 
der,Ruhestand,retirement 
der,Vorruhestand,early retirement 
der,Abschied,farewell 
die,Feier,celebration 
der,Ausstand,strike 
der,Abgang,departure 
die,Minderheit,minority 
die,Anständigkeit,honesty 
die,Verantwortung,responsibility 
das,Blutvergießen,bloodshed 
das,Gebiet,area 
der,Boden,ground 
die,Auslieferung,extradition 
die,Botschaft,message 
das,Ersuchen,request 
die,Vereinbarung,agreement 
die,Spannung,tension 
die,Gefolgschaft,allegiance 
die,Wurzel,root 
die,Wache,guard 
die,Drohung,threat 
der,Gipfel,summit 
die,Vermittlung,mediation 
die,Gelegenheit,opportunity 
die,Nachbarschaft,neighborhood 
der,Einfluss,influence 
die,Sphäre,sphere 
der,Einmarsch,invasion 
die,Spaltung,division 
die,Gewalt,violence 
die,Lust,pleasure 
die,Umkehr,change 
die,Bedrohung,threat 
der,Verlust,loss 
die,Richtung,direction 
das,Geschehnis,event; incident 
die,Küste,coast 
die,Gebärde,gesture 
das,Fahrzeug,vehicle 
das,Schiff,ship 
die,Übung,exercise 
der,Wortschatz,vocabulary 
die,Fremdsprache,foreign language 
der,Satz,sentence 
der,Schnitt,average 
